Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Daily_Return_Pct,Volatility_Range,VIX_Close,Economic_News_Flag,Sentiment_Score,Federal_Rate_Change_Flag,GeoPolitical_Risk_Score,Currency_Index,Close_Price_Normalized
1902-09-08,100.0,100.5,100.63,99.35,2334489,0.0,1.28,31.44,0,-0.413,0,61.6,98.88,0.767687678419875
1902-09-09,100.5,102.02,102.3,99.49,10626850,1.5124,2.81,27.99,1,-0.384,1,69.49,93.43,0.7794151685826709
1902-09-10,102.02,101.55,102.56,101.09,9884633,-0.4607,1.47,21.27,1,0.591,0,67.41,84.25,0.7757889051770697
1902-09-11,101.55,101.08,104.16,100.13,9405648,-0.4628,4.03,48.86,1,0.599,1,50.91,87.78,0.7721626417714682
1902-09-12,101.08,98.65,101.69,98.39,5247581,-2.404,3.3,15.78,1,-0.081,1,23.0,82.11,0.7534140884191034
1902-09-15,98.65,98.48,98.71,97.06,2528388,-0.1723,1.65,34.69,0,0.931,0,21.84,109.69,0.7521024612298433
1902-09-16,98.48,97.33,98.86,96.73,19622899,-1.1677,2.13,46.47,1,-0.799,0,31.04,103.48,0.7432296890672014
1902-09-17,97.33,97.04,98.11,95.94,2769995,-0.298,2.17,11.4,0,-0.035,1,47.34,88.4,0.740992207391405
1902-09-18,97.04,96.51,97.04,96.28,14191261,-0.5462,0.76,35.52,1,0.001,0,91.58,102.96,0.7369030167425352
1902-09-19,96.51,96.89,99.67,95.31,371836,0.3937,4.36,44.01,1,-0.052,0,68.74,105.69,0.7398348892832343
1902-09-22,96.89,97.63,97.8,96.78,2804238,0.7638,1.02,11.67,1,-0.037,0,6.02,101.67,0.7455443252835428
1902-09-23,97.63,97.33,98.09,96.27,15706139,-0.3073,1.82,38.61,0,0.253,0,12.17,86.18,0.7432296890672014
1902-09-24,97.33,96.38,98.38,94.5,19108135,-0.9761,3.88,41.34,0,-0.946,0,14.31,102.44,0.7359000077154538
1902-09-25,96.38,95.01,97.41,94.08,18987034,-1.4215,3.33,12.7,0,0.802,1,53.79,93.93,0.7253298356608286
1902-09-26,95.01,94.8,95.64,93.3,4645583,-0.221,2.34,11.93,0,-0.746,0,11.6,115.31,0.7237095903093895
1902-09-29,94.8,95.9,97.37,93.68,8088004,1.1603,3.69,29.37,0,0.497,1,78.65,83.23,0.7321965897693079
1902-09-30,95.9,96.72,98.07,95.83,10436868,0.8551,2.24,38.37,1,0.699,0,44.46,110.06,0.7385232620939741
1902-10-01,96.72,97.72,98.65,95.93,7006726,1.0339,2.72,25.87,1,0.043,1,17.68,114.71,0.7462387161484452
