Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Daily_Return_Pct,Volatility_Range,VIX_Close,Economic_News_Flag,Sentiment_Score,Federal_Rate_Change_Flag,GeoPolitical_Risk_Score,Currency_Index,Close_Price_Normalized
1986-01-23,46.14,44.01,46.6,42.82,12834123,-4.6164,3.78,22.47,1,-0.544,1,8.71,92.11,0.3318416788828022
1903-08-25,79.41,79.52,80.64,78.1,3822946,0.1385,2.54,39.96,0,-0.332,0,55.43,97.66,0.6058174523570712
1990-08-14,37.88,37.11,38.25,37.07,5306690,-2.0327,1.18,44.4,0,0.962,1,44.54,82.79,0.27860504590695157
1905-01-19,60.87,61.44,61.55,59.28,15075128,0.9364,2.27,34.51,0,0.677,0,7.85,80.36,0.46632204305223357
1968-03-11,8.11,7.93,8.47,7.6,13982675,-2.2195,0.87,34.29,0,-0.296,0,67.17,107.15,0.053468096597484756
1927-01-26,88.44,87.45,88.94,84.38,1978209,-1.1194,4.56,27.8,0,-0.511,1,47.93,91.69,0.667001003009027
1997-04-14,34.43,34.45,35.16,33.26,11945645,0.0581,1.9,29.27,0,-0.487,0,0.49,87.26,0.2580819381220585
2011-04-08,28.63,28.68,28.79,28.16,4460748,0.1746,0.63,32.23,0,0.983,0,52.11,82.44,0.2135637682277602
1963-07-12,21.44,21.95,23.33,20.85,10914366,2.3787,2.48,38.43,0,-0.519,0,65.7,81.01,0.16163876244116965
1989-07-06,58.11,59.99,60.43,58.04,16330588,3.2352,2.39,39.19,0,0.902,1,8.55,93.94,0.4551346346732505
2001-04-10,88.11,87.1,89.61,86.31,1771298,-1.1463,3.3,21.24,0,-0.966,1,86.18,114.67,0.664300594089962
1984-09-20,7.4,6.45,7.52,5.45,9984114,-12.8378,2.07,14.66,1,0.728,1,59.76,105.35,0.042049224596867524
1936-04-13,44.31,45.31,45.79,43.03,10029908,2.2568,2.76,34.07,0,0.98,0,56.24,107.32,0.34187176915361467
1975-07-22,14.25,13.69,14.3,12.97,12998545,-3.9298,1.33,21.08,1,0.63,0,40.91,110.79,0.09790911195123832
2014-06-04,4.59,3.6,4.62,3.19,7516184,-21.5686,1.43,20.47,0,0.365,0,89.94,97.89,0.020060180541624874
1934-05-21,81.58,80.68,81.76,80.18,6295214,-1.1032,1.58,49.02,1,0.302,0,65.96,93.32,0.6147673790602577
1973-07-19,22.59,22.66,22.76,22.05,3947502,0.3099,0.71,12.37,0,-0.033,0,11.13,116.44,0.16711673481984413
1934-08-21,81.37,82.47,84.61,79.57,9092509,1.3518,5.04,33.58,1,0.32,1,23.36,110.27,0.6285780418177609
1923-05-24,42.92,43.39,44.74,41.45,1386087,1.0951,3.29,20.16,0,-0.338,1,41.72,96.69,0.32705809736903013
1951-06-22,85.12,84.6,85.45,83.92,13344027,-0.6109,1.53,10.78,0,-0.953,0,9.53,114.14,0.6450119589537844
1908-05-01,54.87,55.24,57.26,54.7,14653939,0.6743,2.56,44.24,1,-0.879,0,17.16,98.26,0.41848622791451273
1943-02-01,15.69,14.69,16.67,14.49,18058020,-6.3735,2.18,10.31,1,0.842,0,4.99,117.28,0.10562456600570942
1961-12-28,30.63,30.64,31.18,29.72,5370006,0.0326,1.46,22.14,1,0.769,1,98.01,114.55,0.22868605817452356
